id,tag_name,freq
45,ROS,2837
6,rviz,1976
63,kinetic,1810
21,gazebo,1743
62,indigo,1482
2,Kinect,1373
12,tf,1126
1,turtlebot,1104
71,catkin,1049
18,navigation,939
74,roslaunch,920
70,Python,914
61,hydro,895
446,moveit,856
68,fuerte,849
49,urdf,788
69,groovy,746
4,gmapping,738
75,pcl,681
88,move_base,680
81,opencv,675
19,error,671
72,rosbag,626
24,openni,625
85,C++,606
198,catkin_make,606
188,camera,603
67,Ubuntu,597
66,install,568
79,subscriber,551
30,rospy,541
101,odometry,516
432,arduino,508
87,cmake,504
46,SLAM,468
154,amcl,463
165,rosserial,456
376,publisher,455
76,roscpp,452
92,rosjava,446
48,rosmake,426
34,imu,423
313,2d_navigation,422
60,rosdep,413
73,installation,402
22,package,390
105,map,390
441,launch,386
323,RGBDSLAM,368
89,pointcloud,346
78,roscore,339
437,node,338
246,rostopic,328
164,android,327
166,rosserial_arduino,318
614,callback,318
1310,robot_localiza...,317
406,laser,312
1186,rosrun,312
373,topic,309
40,simulation,294
83,osx,292
740,robot,284
29,calibration,282
375,pointcloud2,282
43,image,279
1013,rqt,274
215,message,267
86,ARM,264
442,service,258
582,octomap,258
31,openni_camera,254
431,laserscan,254
65,rosinstall,251
429,cv_bridge,251
496,lidar,247
338,Hokuyo,243
229,electric,239
764,tutorial,237
121,pr2,231
843,openni_launch,231
90,boost,226
321,mapping,225
454,odom,223
161,localization,222
288,camera_calibra...,222
26,actionlib,220
278,gps,220
435,transform,220
180,robot_pose_ekf,218
287,sensor_msgs,217
479,depth,217
385,costmap,214
210,build,212
814,hector_slam,208
244,Eclipse,207
958,ROS1,207
23,tutorials,206
1489,network,205
809,publish,201
39,beginner,200
14,openni_kinect,194
211,messages,193
309,image_transport,193
816,hector,193
291,multiple,192
832,pose,190
91,dependencies,187
155,rosbuild,187
488,Qt,187
308,costmap_2d,186
41,slam_gmapping,184
170,xacro,184
717,matlab,183
1443,plugin,180
3377,2DSLAM,180
77,nodelet,178
482,subscribe,178
657,controller,178
515,openni_tracker,177
702,path,176
487,ubuntu-12.04,175
549,rosbridge,175
389,base_local_pla...,174
1241,cmd_vel,174
1435,Sensor,173
1387,control,172
273,usb_cam,171
1743,ros_control,171
149,stage,166
214,source,165
492,dynamic_reconf...,165
489,velodyne,163
173,rosparam,162
931,12.04,162
1028,raspberry,160
64,tf2,156
1746,file,155
359,hokuyo_node,152
815,hector_mapping,152
292,packages,151
426,driver,151
145,stereo,149
659,quaternion,149
234,rosnode,148
156,rospack,147
307,pcl_ros,147
396,joint,147
176,opencv2,146
256,image_view,146
630,object_recogni...,142
275,USB,140
968,nao,140
2262,catkin-cmake,140
80,Debian,139
552,kobuki,139
1058,model,138
867,Husky,137
37,hardware,136
93,diamondback,135
122,arm_navigation,134
247,rosservice,134
1089,topics,134
3341,mavros,133
28,turtlesim,132
159,map_server,132
1099,cpp,132
1002,msg,131
207,CMakeLists.txt,130
1855,hector_quadrotor,129
212,build_from_source,127
1147,4.RViz,127
1204,bag,127
1146,3D,125
84,ros2,124
2427,beginner_tutor...,123
521,GUI,122
563,nodes,122
1289,problem,122
871,precise,121
335,xtion,118
558,2d_laser_scanner,118
1494,communication,118
564,data,117
654,robot_state_pu...,117
1719,rosaria,117
202,serial,116
607,point,116
1623,hector-slam,116
704,crash,115
858,library,115
2166,lunar,114
1666,position,113
4502,rtabmap,113
449,include,112
402,navigation_stack,111
539,Windows,111
608,stereo_image_proc,111
1223,yaml,111
1457,ardrone,111
731,namespace,110
3432,jade,110
343,openni.launch,109
751,geometry_msgs,109
932,ros-industrial,108
